BARCODE,STOCK_CODE,COLOUR_CODE,SIZE_CODE,STOCK_DESCRIPTION,LABEL_NAME,CATEGORY_NAME,PRODUCT_TYPE,Attribute,SEASON_NAME,COLOUR_DESCRIPTION,RETAIL_PRICE,SOH
9333331739488,JENSEN,GUN,8,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,GUNMETAL,99.95,1
9333331739495,JENSEN,GUN,9,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,GUNMETAL,99.95,1
9333331739501,JENSEN,GUN,10,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,GUNMETAL,99.95,1
9333331739518,JENSEN,GUN,11,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,GUNMETAL,99.95,0
9333331739549,JENSEN,RSGD,6,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,ROSE/GOLD,99.95,0
9333331739556,JENSEN,RSGD,7,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,ROSE/GOLD,99.95,1
9333331739563,JENSEN,RSGD,8,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,ROSE/GOLD,99.95,3
9333331739570,JENSEN,RSGD,9,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,ROSE/GOLD,99.95,1
9333331739587,JENSEN,RSGD,10,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,ROSE/GOLD,99.95,1
9333331739594,JENSEN,RSGD,11,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,ROSE/GOLD,99.95,0
9333331838723,TAMIKO,TAUP,37,TAMIKO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAUPE,99.95,2
9333331838730,TAMIKO,TAUP,38,TAMIKO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAUPE,99.95,2
9333331838747,TAMIKO,TAUP,39,TAMIKO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAUPE,99.95,1
9333331820421,STANHOPE,NAVY,7,STANHOPE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2020,NAVY,159.95,0
9333331739525,JENSEN,GUN,12,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,GUNMETAL,99.95,0
9333331739532,JENSEN,RSGD,5,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,ROSE/GOLD,99.95,0
9333331838716,TAMIKO,TAUP,36,TAMIKO DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2020,TAUPE,99.95,0
9333331739624,NIMBLE,BLK,6,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,179.95,0
9333331739631,NIMBLE,BLK,7,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,179.95,0
9333331739648,NIMBLE,BLK,8,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,179.95,1
9333331739655,NIMBLE,BLK,9,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,179.95,0
9333331739662,NIMBLE,BLK,10,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,179.95,0
9333331739679,NIMBLE,BLK,11,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,179.95,0
9333331739709,NIMBLE,TAN,6,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,TAN,179.95,0
9333331739716,NIMBLE,TAN,7,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,TAN,179.95,0
9333331739723,NIMBLE,TAN,8,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,TAN,179.95,0
9333331739730,NIMBLE,TAN,9,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,TAN,179.95,0
9333331739747,NIMBLE,TAN,10,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,TAN,179.95,1
9333331739754,NIMBLE,TAN,11,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,TAN,179.95,0
9333331645826,QUANEISHA,BLML,6,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331739686,NIMBLE,BLK,12,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,179.95,0
9333331739617,NIMBLE,BLK,5,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,179.95,0
9333331739761,NIMBLE,TAN,12,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,TAN,179.95,0
9333331739693,NIMBLE,TAN,5,NIMBLE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,TAN,179.95,0
9333331739600,JENSEN,RSGD,12,JENSEN DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,ROSE/GOLD,99.95,0
9333331645802,QUANEISHA,BLML,5,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645819,QUANEISHA,BLML,5Ω,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331740040,VANSTONE,BLK,6,VANSTONE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,149.95,0
9333331740057,VANSTONE,BLK,7,VANSTONE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,149.95,0
9333331740064,VANSTONE,BLK,8,VANSTONE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,149.95,1
9333331740071,VANSTONE,BLK,9,VANSTONE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,149.95,0
9333331740088,VANSTONE,BLK,10,VANSTONE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,149.95,0
9333331740095,VANSTONE,BLK,11,VANSTONE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,149.95,0
9333331646052,KRISTINE,TPSD,40,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAUPE/SUEDE,119.95,0
9333331646069,KRISTINE,TPSD,41,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAUPE/SUEDE,119.95,0
9333331646014,KRISTINE,TPSD,36,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAUPE/SUEDE,119.95,0
9333331646021,KRISTINE,TPSD,37,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAUPE/SUEDE,119.95,0
9333331646038,KRISTINE,TPSD,38,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAUPE/SUEDE,119.95,0
9333331646045,KRISTINE,TPSD,39,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,TAUPE/SUEDE,119.95,1
9333331645994,KRISTINE,BSSD,40,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/SUEDE,119.95,0
9333331646007,KRISTINE,BSSD,41,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/SUEDE,119.95,1
9333331645956,KRISTINE,BSSD,36,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/SUEDE,119.95,0
9333331645963,KRISTINE,BSSD,37,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/SUEDE,119.95,0
9333331645970,KRISTINE,BSSD,38,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/SUEDE,119.95,1
9333331645987,KRISTINE,BSSD,39,KRISTINE DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/SUEDE,119.95,0
9333331739952,SITARA,LAVE,6,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331739969,SITARA,LAVE,7,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331739976,SITARA,LAVE,8,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331739983,SITARA,LAVE,9,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331739990,SITARA,LAVE,10,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331740002,SITARA,LAVE,11,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331645840,QUANEISHA,BLML,7,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645864,QUANEISHA,BLML,8,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645888,QUANEISHA,BLML,9,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645901,QUANEISHA,BLML,10,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645833,QUANEISHA,BLML,6Ω,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,1
9333331645857,QUANEISHA,BLML,7Ω,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645871,QUANEISHA,BLML,8Ω,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645895,QUANEISHA,BLML,9Ω,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,1
9333331646137,ALEC,BLKP,5,ALEC DIANA FERRARI,DIANA FERRARI,WOMENS,THONGS,,SUMMER 2018,BLACK/PATENT,99.95,0
9333331646144,ALEC,BLKP,6,ALEC DIANA FERRARI,DIANA FERRARI,WOMENS,THONGS,,SUMMER 2018,BLACK/PATENT,99.95,1
9333331646151,ALEC,BLKP,7,ALEC DIANA FERRARI,DIANA FERRARI,WOMENS,THONGS,,SUMMER 2018,BLACK/PATENT,99.95,2
9333331820438,STANHOPE,NAVY,8,STANHOPE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2020,NAVY,159.95,2
9333331820445,STANHOPE,NAVY,9,STANHOPE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2020,NAVY,159.95,3
9333331820452,STANHOPE,NAVY,10,STANHOPE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2020,NAVY,159.95,1
9333331820469,STANHOPE,NAVY,11,STANHOPE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2020,NAVY,159.95,0
9333331740101,VANSTONE,BLK,12,VANSTONE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,149.95,0
9333331740033,VANSTONE,BLK,5,VANSTONE DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,SUMMER 2019,BLACK,149.95,0
9333331740026,SITARA,LAVE,13,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331740019,SITARA,LAVE,12,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331739945,SITARA,LAVE,5,SITARA DIANA FERRARI,DIANA FERRARI,WOMENS,SANDALS,,WINTER 2021,LAVENDER,149.95,0
9333331645932,QUANEISHA,BLML,11Ω,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645925,QUANEISHA,BLML,11,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
9333331645918,QUANEISHA,BLML,10Ω,QUANEISHA DIANA FERRARI,DIANA FERRARI,WOMENS,CASUAL,,SUMMER 2018,BLUSH/MULTI,149.95,0
